material number,plant code,revision level,description,quantity,base unit,color
PN1594,P03,C,Bearing,99,EA,Zinc
PN1595,P01,A,Spring,1,EA,Steel
PN1596,P02,B,Grommet,2,EA,Black
PN1597,P03,C,Plug,3,EA,Gray
PN1598,P01,A,Cap,4,EA,Natural
PN1599,P02,B,Filter,5,EA,Brass
PN1600,P03,C,Valve,6,EA,Chrome
PN1601,P01,A,Bracket,7,EA,Silver
PN1602,P02,B,Bolt,8,EA,Zinc
PN1603,P03,C,Washer,9,EA,Steel
PN1604,P01,A,Nut,10,EA,Black
PN1605,P02,B,Screw,11,EA,Gray
PN1606,P03,C,Pin,12,EA,Natural
PN1607,P01,A,Clip,13,EA,Brass
PN1608,P02,B,Gasket,14,EA,Chrome
PN1609,P03,C,Seal,15,EA,Silver
PN1610,P01,A,Bushing,16,EA,Zinc
PN1611,P02,B,Spacer,17,EA,Steel
PN1612,P03,C,Shim,18,EA,Black
PN1613,P01,A,Plate,19,EA,Gray
PN1614,P02,B,Cover,20,EA,Natural
PN1615,P03,C,Housing,21,EA,Brass
PN1616,P01,A,Shaft,22,EA,Chrome
PN1617,P02,B,Gear,23,EA,Silver
PN1618,P03,C,Bearing,24,EA,Zinc
PN1619,P01,A,Spring,25,EA,Steel
PN1620,P02,B,Grommet,26,EA,Black
PN1621,P03,C,Plug,27,EA,Gray
PN1622,P01,A,Cap,28,EA,Natural
PN1623,P02,B,Filter,29,EA,Brass
PN1624,P03,C,Valve,30,EA,Chrome
PN1625,P01,A,Bracket,31,EA,Silver
PN1626,P02,B,Bolt,32,EA,Zinc
PN1627,P03,C,Washer,33,EA,Steel
PN1628,P01,A,Nut,34,EA,Black
PN1629,P02,B,Screw,35,EA,Gray
PN1630,P03,C,Pin,36,EA,Natural
PN1631,P01,A,Clip,37,EA,Brass
PN1632,P02,B,Gasket,38,EA,Chrome
PN1633,P03,C,Seal,39,EA,Silver
PN1634,P01,A,Bushing,40,EA,Zinc
PN1635,P02,B,Spacer,41,EA,Steel
PN1636,P03,C,Shim,42,EA,Black
PN1637,P01,A,Plate,43,EA,Gray
PN1638,P02,B,Cover,44,EA,Natural
PN1639,P03,C,Housing,45,EA,Brass
PN1640,P01,A,Shaft,46,EA,Chrome
PN1641,P02,B,Gear,47,EA,Silver
PN1642,P03,C,Bearing,48,EA,Zinc
PN1643,P01,A,Spring,49,EA,Steel
PN1644,P02,B,Grommet,50,EA,Black
PN1645,P03,C,Plug,51,EA,Gray
PN1646,P01,A,Cap,52,EA,Natural
PN1647,P02,B,Filter,53,EA,Brass
PN1648,P03,C,Valve,54,EA,Chrome
PN1649,P01,A,Bracket,55,EA,Silver
PN1650,P02,B,Bolt,56,EA,Zinc
PN1651,P03,C,Washer,57,EA,Steel
PN1652,P01,A,Nut,58,EA,Black
PN1653,P02,B,Screw,59,EA,Gray
PN1654,P03,C,Pin,60,EA,Natural
PN1655,P01,A,Clip,61,EA,Brass
PN1656,P02,B,Gasket,62,EA,Chrome
PN1657,P03,C,Seal,63,EA,Silver
PN1658,P01,A,Bushing,64,EA,Zinc
PN1659,P02,B,Spacer,65,EA,Steel
PN1660,P03,C,Shim,66,EA,Black
PN1661,P01,A,Plate,67,EA,Gray
PN1662,P02,B,Cover,68,EA,Natural
PN1663,P03,C,Housing,69,EA,Brass
PN1664,P01,A,Shaft,70,EA,Chrome
PN1665,P02,B,Gear,71,EA,Silver
PN1666,P03,C,Bearing,72,EA,Zinc
PN1667,P01,A,Spring,73,EA,Steel
PN1668,P02,B,Grommet,74,EA,Black
PN1669,P03,C,Plug,75,EA,Gray
PN1670,P01,A,Cap,76,EA,Natural
PN1671,P02,B,Filter,77,EA,Brass
PN1672,P03,C,Valve,78,EA,Chrome
PN1673,P01,A,Bracket,79,EA,Silver
PN1674,P02,B,Bolt,80,EA,Zinc
PN1675,P03,C,Washer,81,EA,Steel
PN1676,P01,A,Nut,82,EA,Black
PN1677,P02,B,Screw,83,EA,Gray
PN1678,P03,C,Pin,84,EA,Natural
PN1679,P01,A,Clip,85,EA,Brass
PN1680,P02,B,Gasket,86,EA,Chrome
PN1681,P03,C,Seal,87,EA,Silver
PN1682,P01,A,Bushing,88,EA,Zinc
PN1683,P02,B,Spacer,89,EA,Steel
PN1684,P03,C,Shim,90,EA,Black
PN1685,P01,A,Plate,91,EA,Gray
PN1686,P02,B,Cover,92,EA,Natural
PN1687,P03,C,Housing,93,EA,Brass
PN1688,P01,A,Shaft,94,EA,Chrome
PN1689,P02,B,Gear,95,EA,Silver
PN1690,P03,C,Bearing,96,EA,Zinc
PN1691,P01,A,Spring,97,EA,Steel
PN1692,P02,B,Grommet,98,EA,Black
PN1693,P03,C,Plug,99,EA,Gray
PN1694,P01,A,Cap,1,EA,Natural
PN1695,P02,B,Filter,2,EA,Brass
PN1696,P03,C,Valve,3,EA,Chrome
PN1697,P01,A,Bracket,4,EA,Silver
PN1698,P02,B,Bolt,5,EA,Zinc
PN1699,P03,C,Washer,6,EA,Steel
PN1700,P01,A,Nut,7,EA,Black
PN1701,P02,B,Screw,8,EA,Gray
PN1702,P03,C,Pin,9,EA,Natural
PN1703,P01,A,Clip,10,EA,Brass
PN1704,P02,B,Gasket,11,EA,Chrome
PN1705,P03,C,Seal,12,EA,Silver
PN1706,P01,A,Bushing,13,EA,Zinc
PN1707,P02,B,Spacer,14,EA,Steel
PN1708,P03,C,Shim,15,EA,Black
PN1709,P01,A,Plate,16,EA,Gray
PN1710,P02,B,Cover,17,EA,Natural
PN1711,P03,C,Housing,18,EA,Brass
PN1712,P01,A,Shaft,19,EA,Chrome
PN1713,P02,B,Gear,20,EA,Silver
PN1714,P03,C,Bearing,21,EA,Zinc
PN1715,P01,A,Spring,22,EA,Steel
PN1716,P02,B,Grommet,23,EA,Black
PN1717,P03,C,Plug,24,EA,Gray
PN1718,P01,A,Cap,25,EA,Natural
PN1719,P02,B,Filter,26,EA,Brass
PN1720,P03,C,Valve,27,EA,Chrome
PN1721,P01,A,Bracket,28,EA,Silver
PN1722,P02,B,Bolt,29,EA,Zinc
PN1723,P03,C,Washer,30,EA,Steel
PN1724,P01,A,Nut,31,EA,Black
PN1725,P02,B,Screw,32,EA,Gray
PN1726,P03,C,Pin,33,EA,Natural
PN1727,P01,A,Clip,34,EA,Brass
PN1728,P02,B,Gasket,35,EA,Chrome
PN1729,P03,C,Seal,36,EA,Silver
PN1730,P01,A,Bushing,37,EA,Zinc
PN1731,P02,B,Spacer,38,EA,Steel
PN1732,P03,C,Shim,39,EA,Black
PN1733,P01,A,Plate,40,EA,Gray
PN1734,P02,B,Cover,41,EA,Natural
PN1735,P03,C,Housing,42,EA,Brass
PN1736,P01,A,Shaft,43,EA,Chrome
PN1737,P02,B,Gear,44,EA,Silver
PN1738,P03,C,Bearing,45,EA,Zinc
PN1739,P01,A,Spring,46,EA,Steel
PN1740,P02,B,Grommet,47,EA,Black
PN1741,P03,C,Plug,48,EA,Gray
PN1742,P01,A,Cap,49,EA,Natural
PN1743,P02,B,Filter,50,EA,Brass
PN1744,P03,C,Valve,51,EA,Chrome
PN1745,P01,A,Bracket,52,EA,Silver
PN1746,P02,B,Bolt,53,EA,Zinc
PN1747,P03,C,Washer,54,EA,Steel
PN1748,P01,A,Nut,55,EA,Black
PN1749,P02,B,Screw,56,EA,Gray
PN1750,P03,C,Pin,57,EA,Natural
PN1751,P01,A,Clip,59,EA,Brass
PN1752,P02,B,Gasket,59,EA,Chrome
PN1753,P03,C,Seal,60,EA,Silver
PN1754,P01,A,Bushing,61,EA,Zinc
PN1755,P02,B,Spacer,62,EA,Steel
PN1756,P03,C,Shim,63,EA,Black
PN1757,P01,A,Plate,64,EA,Gray
PN1758,P02,B,Cover,65,EA,Natural
PN1759,P03,C,Housing,66,EA,Brass
PN1760,P01,A,Shaft,67,EA,Chrome
PN1761,P02,B,Gear,68,EA,Silver
PN1762,P03,C,Bearing,69,EA,Zinc
PN1763,P01,A,Spring,70,EA,Steel
PN1764,P02,B,Grommet,71,EA,Black
PN1765,P03,C,Plug,72,EA,Gray
PN1766,P01,A,Cap,73,EA,Natural
PN1767,P02,B,Filter,74,EA,Brass
PN1768,P03,C,Valve,75,EA,Chrome
PN1769,P01,A,Bracket,76,EA,Silver
PN1770,P02,B,Bolt,77,EA,Zinc
PN1771,P03,C,Washer,78,EA,Steel
PN1772,P01,A,Nut,79,EA,Black
PN1773,P02,B,Screw,80,EA,Gray
PN1774,P03,C,Pin,81,EA,Natural
PN1775,P01,A,Clip,82,EA,Brass
PN1776,P02,B,Gasket,83,EA,Chrome
PN1777,P03,C,Seal,84,EA,Silver
PN1778,P01,A,Bushing,85,EA,Zinc
PN1779,P02,B,Spacer,86,EA,Steel
PN1780,P03,C,Shim,87,EA,Black
PN1781,P01,A,Plate,88,EA,Gray
PN1782,P02,B,Cover,89,EA,Natural
PN1783,P03,C,Housing,90,EA,Brass
PN1784,P01,A,Shaft,91,EA,Chrome
PN1785,P02,B,Gear,92,EA,Silver
PN1786,P03,C,Bearing,93,EA,Zinc
PN1787,P01,A,Spring,94,EA,Steel
PN1788,P02,B,Grommet,95,EA,Black
PN1789,P03,C,Plug,96,EA,Gray
PN1790,P01,A,Cap,97,EA,Natural
PN1791,P02,B,Filter,98,EA,Brass
PN1792,P03,C,Valve,99,EA,Chrome
PN1793,P01,A,Bracket,1,EA,Silver
PN1794,P02,B,Bolt,2,EA,Zinc
PN1795,P03,C,Washer,3,EA,Steel
PN1796,P01,A,Nut,4,EA,Black
PN1797,P02,B,Screw,5,EA,Gray
PN1798,P03,C,Pin,6,EA,Natural
PN1799,P01,A,Clip,7,EA,Brass
PN1800,P02,B,Gasket,8,EA,Chrome
PN1801,P03,C,Seal,9,EA,Silver
PN1802,P01,A,Bushing,10,EA,Zinc
PN1803,P02,B,Spacer,11,EA,Steel
PN1804,P03,C,Shim,12,EA,Black
PN1805,P01,A,Plate,13,EA,Gray
PN1806,P02,B,Cover,14,EA,Natural
PN1807,P03,C,Housing,15,EA,Brass
PN1808,P01,A,Shaft,16,EA,Chrome
PN1809,P02,B,Gear,17,EA,Silver
PN1810,P03,C,Bearing,18,EA,Zinc
PN1811,P01,A,Spring,19,EA,Steel
PN1812,P02,B,Grommet,20,EA,Black
PN1813,P03,C,Plug,21,EA,Gray
PN1814,P01,A,Cap,22,EA,Natural
PN1815,P02,B,Filter,23,EA,Brass
PN1816,P03,C,Valve,24,EA,Chrome
PN1817,P01,A,Bracket,25,EA,Silver
PN1818,P02,B,Bolt,26,EA,Zinc
PN1819,P03,C,Washer,27,EA,Steel
PN1820,P01,A,Nut,28,EA,Black
PN1821,P02,B,Screw,29,EA,Gray
PN1822,P03,C,Pin,30,EA,Natural
PN1823,P01,A,Clip,31,EA,Brass
PN1824,P02,B,Gasket,32,EA,Chrome
PN1825,P03,C,Seal,33,EA,Silver
PN1826,P01,A,Bushing,34,EA,Zinc
PN1827,P02,B,Spacer,35,EA,Steel
PN1828,P03,C,Shim,36,EA,Black
PN1829,P01,A,Plate,37,EA,Gray
PN1830,P02,B,Cover,38,EA,Natural
PN1831,P03,C,Housing,39,EA,Brass
PN1832,P01,A,Shaft,40,EA,Chrome
PN1833,P02,B,Gear,41,EA,Silver
PN1834,P03,C,Bearing,42,EA,Zinc
PN1835,P01,A,Spring,43,EA,Steel
PN1836,P02,B,Grommet,44,EA,Black
PN1837,P03,C,Plug,45,EA,Gray
PN1838,P01,A,Cap,46,EA,Natural
PN1839,P02,B,Filter,47,EA,Brass
PN1840,P03,C,Valve,48,EA,Chrome
PN1841,P01,A,Bracket,49,EA,Silver
PN1842,P02,B,Bolt,50,EA,Zinc
PN1843,P03,C,Washer,51,EA,Steel
PN1844,P01,A,Nut,52,EA,Black
PN1845,P02,B,Screw,53,EA,Gray
PN1846,P03,C,Pin,54,EA,Natural
PN1847,P01,A,Clip,55,EA,Brass
PN1848,P02,B,Gasket,56,EA,Chrome
PN1849,P03,C,Seal,57,EA,Silver
PN1850,P01,A,Bushing,58,EA,Zinc
PN1851,P02,B,Spacer,59,EA,Steel
PN1852,P03,C,Shim,60,EA,Black
PN1853,P01,A,Plate,61,EA,Gray
PN1854,P02,B,Cover,62,EA,Natural
PN1855,P03,C,Housing,63,EA,Brass
PN1856,P01,A,Shaft,64,EA,Chrome
PN1857,P02,B,Gear,65,EA,Silver
PN1858,P03,C,Bearing,66,EA,Zinc
PN1859,P01,A,Spring,67,EA,Steel
PN1860,P02,B,Grommet,68,EA,Black
PN1861,P03,C,Plug,69,EA,Gray
PN1862,P01,A,Cap,70,EA,Natural
PN1863,P02,B,Filter,71,EA,Brass
PN1864,P03,C,Valve,72,EA,Chrome
PN1865,P01,A,Bracket,73,EA,Silver
PN1866,P02,B,Bolt,74,EA,Zinc
PN1867,P03,C,Washer,75,EA,Steel
PN1868,P01,A,Nut,76,EA,Black
PN1869,P02,B,Screw,77,EA,Gray
PN1870,P03,C,Pin,78,EA,Natural
PN1871,P01,A,Clip,79,EA,Brass
PN1872,P02,B,Gasket,80,EA,Chrome
PN1873,P03,C,Seal,81,EA,Silver
PN1874,P01,A,Bushing,82,EA,Zinc
PN1875,P02,B,Spacer,83,EA,Steel
PN1876,P03,C,Shim,84,EA,Black
PN1877,P01,A,Plate,85,EA,Gray
PN1878,P02,B,Cover,86,EA,Natural
PN1879,P03,C,Housing,87,EA,Brass
PN1880,P01,A,Shaft,88,EA,Chrome
PN1881,P02,B,Gear,89,EA,Silver
PN1882,P03,C,Bearing,90,EA,Zinc
PN1883,P01,A,Spring,91,EA,Steel
PN1884,P02,B,Grommet,92,EA,Black
PN1885,P03,C,Plug,93,EA,Gray
PN1886,P01,A,Cap,94,EA,Natural
PN1887,P02,B,Filter,95,EA,Brass
PN1888,P03,C,Valve,96,EA,Chrome
PN1889,P01,A,Bracket,97,EA,Silver
PN1890,P02,B,Bolt,98,EA,Zinc
PN1891,P03,C,Washer,99,EA,Steel
PN1892,P01,A,Nut,1,EA,Black
PN1893,P02,B,Screw,2,EA,Gray
PN1894,P03,C,Pin,3,EA,Natural
PN1895,P01,A,Clip,4,EA,Brass
PN1896,P02,B,Gasket,5,EA,Chrome
PN1897,P03,C,Seal,6,EA,Silver
PN1898,P01,A,Bushing,7,EA,Zinc
PN1899,P02,B,Spacer,8,EA,Steel
PN1900,P03,C,Shim,9,EA,Black
PN1901,P01,A,Plate,10,EA,Gray
PN1902,P02,B,Cover,11,EA,Natural
PN1903,P03,C,Housing,12,EA,Brass
PN1904,P01,A,Shaft,13,EA,Chrome
PN1905,P02,B,Gear,14,EA,Silver
PN1906,P03,C,Bearing,15,EA,Zinc
PN1907,P01,A,Spring,16,EA,Steel
PN1908,P02,B,Grommet,17,EA,Black
PN1909,P03,C,Plug,18,EA,Gray
PN1910,P01,A,Cap,19,EA,Natural
PN1911,P02,B,Filter,20,EA,Brass
PN1912,P03,C,Valve,21,EA,Chrome
PN1913,P01,A,Bracket,22,EA,Silver
PN1914,P02,B,Bolt,23,EA,Zinc
PN1915,P03,C,Washer,24,EA,Steel
PN1916,P01,A,Nut,25,EA,Black
PN1917,P02,B,Screw,26,EA,Gray
PN1918,P03,C,Pin,27,EA,Natural
PN1919,P01,A,Clip,28,EA,Brass
PN1920,P02,B,Gasket,29,EA,Chrome
PN1921,P03,C,Seal,30,EA,Silver
PN1922,P01,A,Bushing,31,EA,Zinc
PN1923,P02,B,Spacer,32,EA,Steel
PN1924,P03,C,Shim,33,EA,Black
PN1925,P01,A,Plate,34,EA,Gray
PN1926,P02,B,Cover,35,EA,Natural
PN1927,P03,C,Housing,36,EA,Brass
PN1928,P01,A,Shaft,37,EA,Chrome
PN1929,P02,B,Gear,38,EA,Silver
PN1930,P03,C,Bearing,39,EA,Zinc
PN1931,P01,A,Spring,40,EA,Steel
PN1932,P02,B,Grommet,41,EA,Black
PN1933,P03,C,Plug,42,EA,Gray
PN1934,P01,A,Cap,43,EA,Natural
PN1935,P02,B,Filter,44,EA,Brass
PN1936,P03,C,Valve,45,EA,Chrome
PN1937,P01,A,Bracket,46,EA,Silver
PN1938,P02,B,Bolt,47,EA,Zinc
PN1939,P03,C,Washer,48,EA,Steel
PN1940,P01,A,Nut,49,EA,Black
PN1941,P02,B,Screw,50,EA,Gray
PN1942,P03,C,Pin,51,EA,Natural
PN1943,P01,A,Clip,52,EA,Brass
PN1944,P02,B,Gasket,53,EA,Chrome
PN1945,P03,C,Seal,54,EA,Silver
PN1946,P01,A,Bushing,55,EA,Zinc
PN1947,P02,B,Spacer,56,EA,Steel
PN1948,P03,C,Shim,57,EA,Black
PN1949,P01,A,Plate,58,EA,Gray
PN1950,P02,B,Cover,59,EA,Natural
PN1951,P03,C,Housing,60,EA,Brass
PN1952,P01,A,Shaft,61,EA,Chrome
PN1953,P02,B,Gear,62,EA,Silver
PN1954,P03,C,Bearing,63,EA,Zinc
PN1955,P01,A,Spring,64,EA,Steel
PN1956,P02,B,Grommet,65,EA,Black
PN1957,P03,C,Plug,66,EA,Gray
PN1958,P01,A,Cap,67,EA,Natural
PN1959,P02,B,Filter,68,EA,Brass
PN1960,P03,C,Valve,69,EA,Chrome
PN1961,P01,A,Bracket,70,EA,Silver
PN1962,P02,B,Bolt,71,EA,Zinc
PN1963,P03,C,Washer,72,EA,Steel
PN1964,P01,A,Nut,73,EA,Black
PN1965,P02,B,Screw,74,EA,Gray
PN1966,P03,C,Pin,75,EA,Natural
PN1967,P01,A,Clip,76,EA,Brass
PN1968,P02,B,Gasket,77,EA,Chrome
PN1969,P03,C,Seal,78,EA,Silver
PN1970,P01,A,Bushing,79,EA,Zinc
PN1971,P02,B,Spacer,80,EA,Steel
PN1972,P03,C,Shim,81,EA,Black
PN1973,P01,A,Plate,82,EA,Gray
PN1974,P02,B,Cover,83,EA,Natural
PN1975,P03,C,Housing,84,EA,Brass
PN1976,P01,A,Shaft,85,EA,Chrome
PN1977,P02,B,Gear,86,EA,Silver
PN1978,P03,C,Bearing,87,EA,Zinc
PN1979,P01,A,Spring,88,EA,Steel
PN1980,P02,B,Grommet,89,EA,Black
PN1981,P03,C,Plug,90,EA,Gray
PN1982,P01,A,Cap,91,EA,Natural
PN1983,P02,B,Filter,92,EA,Brass
PN1984,P03,C,Valve,93,EA,Chrome
PN1985,P01,A,Bracket,94,EA,Silver
PN1986,P02,B,Bolt,95,EA,Zinc
PN1987,P03,C,Washer,96,EA,Steel
PN1988,P01,A,Nut,97,EA,Black
PN1989,P02,B,Screw,98,EA,Gray
PN1990,P03,C,Pin,99,EA,Natural
PN1991,P01,A,Clip,1,EA,Brass
PN1992,P02,B,Gasket,2,EA,Chrome
PN1993,P03,C,Seal,3,EA,Silver
PN1994,P01,A,Bushing,4,EA,Zinc
PN1995,P02,B,Spacer,5,EA,Steel
PN1996,P03,C,Shim,6,EA,Black
PN1997,P01,A,Plate,7,EA,Gray
PN1998,P02,B,Cover,8,EA,Natural
PN2001,P01,A,Bracket,1,EA,Silver
PN2002,P02,B,Bolt,2,EA,Zinc
